feature,importance
int_rate,0.148665480740738
dti,0.1066963367997864
revol_util,0.09901148981821521
annual_inc,0.09457367664744548
loan_amnt,0.07852996690106004
total_acc,0.0708891865338096
longest_credit_length,0.0661450180837183
emp_length,0.049540766077841865
term_36 months,0.01801382641140496
term_60 months,0.017659973757863167
delinq_2yrs,0.013690194385524714
purpose_debt_consolidation,0.013540352597745307
addr_state_FL,0.013003392821619237
home_ownership_RENT,0.012721874979872181
home_ownership_MORTGAGE,0.011795899749894322
